Learner Location,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Offering Status,Instructor Name
ABBOTSFORD,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
AGASSIZ,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
AMHERST,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
AMHERST,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
ASTRA,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
BANFF,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
BARRIE,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
BATHURST,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
BATHURST,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
BATHURST,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
BELLEVILLE,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
BELLEVILLE,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
BORDEN,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
BORDEN,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
BURLINGTON,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
BURLINGTON,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
BURLINGTON,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
BURLINGTON,2021-01-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
CALGARY,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
CALGARY,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
CALGARY,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
CALGARY,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
CALGARY,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
CARLETON PLACE,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
CHARLOTTETOWN,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
CHARLOTTETOWN,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
CHARLOTTETOWN,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
CHARLOTTETOWN,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
CHARLOTTETOWN,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
CHARLOTTETOWN,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
CHARLOTTETOWN,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
CHARLOTTETOWN,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Isa David
CHARLOTTETOWN,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
CHATHAM,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
CORNWALL,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
CORNWALL,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
CORNWALL,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
DARTMOUTH,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
DARTMOUTH,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
DARTMOUTH,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
DORVAL,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
