Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Administrative Tribunals Support Service of Canada,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Administrative Tribunals Support Service of Canada,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Administrative Tribunals Support Service of Canada,Ontario_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Administrative Tribunals Support Service of Canada,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,Unknown
Administrative Tribunals Support Service of Canada,Ontario_NCR,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Administrative Tribunals Support Service of Canada,Ontario_NCR,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Atlantic Canada Opportunities Agency,New Brunswick,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Atlantic Canada Opportunities Agency,New Brunswick,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Atlantic Canada Opportunities Agency,New Brunswick,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Atlantic Canada Opportunities Agency,New Brunswick,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canada Border Services Agency,British Columbia,2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
