Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
127690,regdw000000004600175,2,2020-08-12 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Border Services Agency,FB
127690,regdw000000004600392,2,2020-08-12 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of Fisheries and Oceans,CR
127690,regdw000000004600412,2,2020-08-12 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,LEGS
127690,regdw000000004606867,2,2020-08-17 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127690,regdw000000004613954,2,2020-08-20 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Communications Security Establishment,Other
127690,regdw000000004649210,2,2020-09-03 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
127690,regdw000000004649851,2,2020-09-03 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of Fisheries and Oceans,CO
127690,regdw000000004655110,2,2020-09-08 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127690,regdw000000004659115,2,2020-09-10 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,C
127690,regdw000000004661709,2,2020-09-10 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PM
127729,regdw000000004599738,2,2020-08-12 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127729,regdw000000004600592,2,2020-08-13 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127729,regdw000000004600794,2,2020-08-13 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Transport Canada,TI
127729,regdw000000004602769,2,2020-08-13 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127729,regdw000000004603540,2,2020-08-14 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of Fisheries and Oceans,CR
127729,regdw000000004603954,2,2020-08-14 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Cancelled,Employment and Social Development Canada,PO
127729,regdw000000004607049,2,2020-08-17 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,AS
127729,regdw000000004609069,2,2020-08-18 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,"Immigration, Refugees and Citizenship Canada",CR
127729,regdw000000004610141,2,2020-08-18 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127729,regdw000000004610815,2,2020-08-18 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Transport Canada,TI
127729,regdw000000004611369,2,2020-08-19 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,AS
127729,regdw000000004612405,2,2020-08-19 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127729,regdw000000004613735,2,2020-08-19 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,LEGS
127729,regdw000000004613803,2,2020-08-20 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127729,regdw000000004613943,2,2020-08-20 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Public Health Agency of Canada,PM
127729,regdw000000004648429,2,2020-09-03 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127729,regdw000000004651178,2,2020-09-04 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),Unknown
127690,regdw000000004600936,2,2020-08-13 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,Unknown
127690,regdw000000004604446,2,2020-08-14 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Shared Services Canada,CR
127690,regdw000000004606808,2,2020-08-17 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Royal Canadian Mounted Police (PS employees),CR
127690,regdw000000004611210,2,2020-08-19 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Royal Canadian Mounted Police (PS employees),CR
127690,regdw000000004611629,2,2020-08-19 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127690,regdw000000004652391,2,2020-09-05 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),FS
127690,regdw000000004655045,2,2020-09-08 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127690,regdw000000004656534,2,2020-09-09 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canadian Food Inspection Agency,AS
127690,regdw000000004666640,2,2020-09-14 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SU
127729,regdw000000004599926,2,2020-08-12 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Border Services Agency,AS
127729,regdw000000004601301,2,2020-08-13 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Financial Transactions and Reports Analysis Centre of Canada,FT
127729,regdw000000004601364,2,2020-08-13 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of Justice,CR
127690,regdw000000004601158,2,2020-08-13 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Financial Transactions and Reports Analysis Centre of Canada,FT
127690,regdw000000004601684,2,2020-08-13 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Public Services and Procurement Canada,C
127690,regdw000000004602962,2,2020-08-14 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of Health,NUCHN
127690,regdw000000004604055,2,2020-08-14 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PO
127690,regdw000000004606072,2,2020-08-17 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Royal Canadian Mounted Police (PS employees),CR
127690,regdw000000004608286,2,2020-08-18 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PM
127690,regdw000000004609064,2,2020-08-18 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,"Immigration, Refugees and Citizenship Canada",CR
127690,regdw000000004609303,2,2020-08-18 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of Fisheries and Oceans,PM
127690,regdw000000004610134,2,2020-08-18 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,AS
127690,regdw000000004647746,2,2020-09-03 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Crown-Indigenous Relations and Northern Affairs Canada,EC
127690,regdw000000004654069,2,2020-09-08 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),AS
127690,regdw000000004656709,2,2020-09-09 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Cancelled,"Immigration, Refugees and Citizenship Canada",PM
127729,regdw000000004652902,2,2020-09-07 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Military),Unknown
127729,regdw000000004656941,2,2020-09-09 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),CR
127729,regdw000000004658153,2,2020-09-09 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,AS
127729,regdw000000004659113,2,2020-09-10 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,C
127729,regdw000000004660671,2,2020-09-10 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Cancelled,Shared Services Canada,CS
127729,regdw000000004661606,2,2020-09-10 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Environment and Climate Change Canada,EG
127729,regdw000000004661711,2,2020-09-10 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PM
127729,regdw000000004673923,2,2020-09-16 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of Agriculture and Agri-Food,GLMAN
127729,regdw000000004674242,2,2020-09-16 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Environment and Climate Change Canada,EG
127730,regdw000000004657886,2,2020-09-09 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,Translation Bureau,AS
127731,regdw000000004649821,2,2020-09-03 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Public Safety Canada,AS
127731,regdw000000004650225,2,2020-09-04 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127731,regdw000000004656111,2,2020-09-09 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,LEGS
127731,regdw000000004657445,2,2020-09-09 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Treasury Board of Canada Secretariat,EC
127729,regdw000000004604541,2,2020-08-14 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Shared Services Canada,CR
127729,regdw000000004607440,2,2020-08-17 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127729,regdw000000004611348,2,2020-08-19 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Privy Council Office,CR
127729,regdw000000004611429,2,2020-08-19 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,Student
127729,regdw000000004650505,2,2020-09-04 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,EX
127729,regdw000000004652097,2,2020-09-04 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,CR
127729,regdw000000004652388,2,2020-09-05 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),FS
127729,regdw000000004652524,2,2020-09-06 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
127729,regdw000000004653334,2,2020-09-08 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Unknown,PE
127729,regdw000000004654672,2,2020-09-08 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127729,regdw000000004656349,2,2020-09-09 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,FI
127729,regdw000000004662264,2,2020-09-11 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canadian Transportation Agency,EC
127729,regdw000000004666832,2,2020-09-14 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SU
127729,regdw000000004667920,2,2020-09-14 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,National Research Council of Canada,TO
127690,regdw000000004659210,2,2020-09-10 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,Unknown
127690,regdw000000004662231,2,2020-09-11 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Office of the Superintendent of Financial Institutions,Unknown
127690,regdw000000004667198,2,2020-09-14 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,HR
127690,regdw000000004670326,2,2020-09-15 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Cancelled,Library and Archives of Canada,CR
127690,regdw000000004673272,2,2020-09-16 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127690,regdw000000004673822,2,2020-09-16 0:00:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Cancelled,"Innovation, Science and Economic Development Canada",EC
127729,regdw000000004601607,2,2020-08-13 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Transport Canada,EC
127729,regdw000000004604253,2,2020-08-14 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,"Immigration, Refugees and Citizenship Canada",CR
127729,regdw000000004605141,2,2020-08-15 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of Health,NUCHN
127729,regdw000000004605452,2,2020-08-16 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canadian Food Inspection Agency,EG
127729,regdw000000004608662,2,2020-08-18 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Military),AA
127729,regdw000000004613818,2,2020-08-20 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,LEGS
127729,regdw000000004613955,2,2020-08-20 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127729,regdw000000004671013,2,2020-09-15 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127729,regdw000000004673220,2,2020-09-16 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Natural Resources Canada,EG
127729,regdw000000004673357,2,2020-09-16 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127729,regdw000000004673699,2,2020-09-16 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127730,regdw000000004654188,2,2020-09-08 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,Canada Revenue Agency,AU
127730,regdw000000004654894,2,2020-09-08 0:00:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,Environment and Climate Change Canada,GT
127731,regdw000000004648787,2,2020-09-03 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,AS
127731,regdw000000004651868,2,2020-09-04 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127731,regdw000000004651995,2,2020-09-04 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Public Services and Procurement Canada,CR
127731,regdw000000004658892,2,2020-09-09 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Natural Resources Canada,CS
127731,regdw000000004662744,2,2020-09-11 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127731,regdw000000004667869,2,2020-09-14 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,National Research Council of Canada,TO
127731,regdw000000004671305,2,2020-09-15 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,Indigenous Services Canada,PM
127733,regdw000000004598354,2,2020-08-12 0:00:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,French/Français,0,Confirmed,Unknown,AS
