Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
127690,regdw000000004599606,2,2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127690,regdw000000004600175,2,2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Canada Border Services Agency,FB
127690,regdw000000004600392,2,2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of Fisheries and Oceans,CR
127690,regdw000000004600412,2,2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,LEGS
127690,regdw000000004600584,2,2020-08-13 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127690,regdw000000004600936,2,2020-08-13 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,Unknown
127690,regdw000000004601158,2,2020-08-13 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Financial Transactions and Reports Analysis Centre of Canada,FT
127690,regdw000000004601684,2,2020-08-13 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Public Services and Procurement Canada,C
127690,regdw000000004602962,2,2020-08-14 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Department of Health,NUCHN
127690,regdw000000004604055,2,2020-08-14 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PO
127690,regdw000000004604446,2,2020-08-14 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,Shared Services Canada,CR
