Offering Start Date,Course Code,Course Title Descr.,Offering DeliveryType_EN,Offering Language,Question Code,Question,Answer
2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",10
2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",8
2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",6
2020-09-10 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",3
2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",9
2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",9
2020-09-15 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",10
2020-09-21 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",10
2020-08-12 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",10
2020-08-13 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",1
2020-08-19 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",10
2020-08-21 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",10
2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",9
2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",9
2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Q01,"1. Please rate your overall satisfaction or dissatisfaction with this learning activity on a scale of 1 to 10, where 1 is ""very dissatisfied"" and 10 is ""very satisfied"".",5
