Offering ID,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Offering Status,Confirmed Registrations,Instructor Name
127122,2020-08-18 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Cancelled - Normal,0,Unknown
127156,2020-09-08 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Cancelled - Normal,0,Unknown
127968,2020-12-07 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,Open - Normal,13,Isa David
127969,2021-01-12 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,6,Elizabeth McKeown
127971,2021-01-22 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,1,Jean-Marc Dupont
128179,2020-10-13 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,20,Jean-Marc Dupont
128180,2020-10-21 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,16,Jean-Marc Dupont
127120,2020-07-29 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,11,"Elizabeth McKeown, Jean-Marc Dupont"
127126,2020-07-20 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Delivered - Normal,9,"Daniel Richer, Richard Landry"
127135,2020-08-27 0:00:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,French/Français,Cancelled - Normal,0,Unknown
127187,2020-07-06 0:00:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,Open - Normal,41,Unknown
127956,2020-09-08 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Delivered - Normal,12,Jean-Marc Dupont
127958,2020-09-22 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,24,Jean-Marc Dupont
127961,2020-12-15 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,24,Elizabeth McKeown
128182,2020-11-10 0:00:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,Open - Normal,2,Jean-Marc Dupont
127119,2020-07-17 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,11,"Elizabeth McKeown, Richard Landry"
127121,2020-08-06 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,Delivered - Normal,9,"Elizabeth McKeown, Jean-Marc Dupont"
127127,2020-08-11 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Cancelled - Normal,0,Unknown
127128,2020-09-25 0:00:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,Open - Normal,10,"Daniel Richer, Jean-Marc Dupont"
127129,2020-09-30 0:00:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,English/Anglais,Open - Normal,2,Richard Landry
127190,2020-07-06 0:00:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,Open - Normal,68,Unknown
